ID,well,Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI
1,F1,60.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
2,F2,60.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
3,F3,60.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
4,F4,60.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
5,F5,30.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
6,F6,30.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
7,F7,30.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
8,F8,30.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
9,F9,5.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
10,F10,5.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
11,F11,5.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
12,F12,5.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
1,A1,60.0,60.0,55.25,106.63,138.12,1.0,1.93,2.5
2,A2,60.0,60.0,55.25,106.63,138.12,1.0,1.93,2.5
3,A3,30.0,60.0,52.17,130.43,117.39,1.0,2.5,2.25
4,A4,30.0,60.0,52.17,130.43,117.39,1.0,2.5,2.25
5,A5,10.0,60.0,53.1,131.68,115.22,1.0,2.48,2.17
6,A6,10.0,60.0,53.1,131.68,115.22,1.0,2.48,2.17
7,A7,10.0,60.0,56.07,140.19,103.74,1.0,2.5,1.85
8,A8,10.0,60.0,56.07,140.19,103.74,1.0,2.5,1.85
9,A9,5.0,60.0,56.07,103.74,140.19,1.0,1.85,2.5
10,A10,5.0,60.0,56.07,103.74,140.19,1.0,1.85,2.5
11,A11,5.0,60.0,86.21,86.21,127.59,1.0,1.0,1.48
12,A12,5.0,60.0,86.21,86.21,127.59,1.0,1.0,1.48
13,B1,60.0,150.0,50.42,123.53,126.05,1.0,2.45,2.5
14,B2,60.0,150.0,50.42,123.53,126.05,1.0,2.45,2.5
15,B3,60.0,150.0,51.02,121.43,127.55,1.0,2.38,2.5
16,B4,60.0,150.0,51.02,121.43,127.55,1.0,2.38,2.5
17,B5,60.0,150.0,52.91,114.81,132.28,1.0,2.17,2.5
18,B6,60.0,150.0,52.91,114.81,132.28,1.0,2.17,2.5
19,B7,5.0,150.0,65.93,135.16,98.9,1.0,2.05,1.5
20,B8,5.0,150.0,65.93,135.16,98.9,1.0,2.05,1.5
21,B9,5.0,150.0,69.77,132.56,97.67,1.0,1.9,1.4
22,B10,5.0,150.0,69.77,132.56,97.67,1.0,1.9,1.4
23,B11,5.0,150.0,62.76,155.65,81.59,1.0,2.48,1.3
24,B12,5.0,150.0,62.76,155.65,81.59,1.0,2.48,1.3
25,C1,60.0,150.0,67.42,64.04,168.54,1.0,0.95,2.5
26,C2,60.0,150.0,67.42,64.04,168.54,1.0,0.95,2.5
27,C3,60.0,150.0,73.17,43.9,182.93,1.0,0.6,2.5
28,C4,60.0,150.0,73.17,43.9,182.93,1.0,0.6,2.5
29,C5,60.0,150.0,56.82,142.05,101.14,1.0,2.5,1.78
30,C6,60.0,150.0,56.82,142.05,101.14,1.0,2.5,1.78
31,C7,60.0,150.0,67.87,143.89,88.24,1.0,2.12,1.3
32,C8,60.0,150.0,67.87,143.89,88.24,1.0,2.12,1.3
33,C9,60.0,150.0,73.53,130.88,95.59,1.0,1.78,1.3
34,C10,60.0,150.0,73.53,130.88,95.59,1.0,1.78,1.3
35,C11,5.0,150.0,70.09,138.79,91.12,1.0,1.98,1.3
36,C12,5.0,150.0,70.09,138.79,91.12,1.0,1.98,1.3
43,D7,10.0,60.0,56.07,140.19,103.74,1.0,2.5,1.85
44,D8,10.0,60.0,56.07,140.19,103.74,1.0,2.5,1.85
45,D9,5.0,150.0,65.93,135.16,98.9,1.0,2.05,1.5
46,D10,5.0,150.0,65.93,135.16,98.9,1.0,2.05,1.5
47,D11,5.0,150.0,69.77,132.56,97.67,1.0,1.9,1.4
48,D12,5.0,150.0,69.77,132.56,97.67,1.0,1.9,1.4
25,C1,60.0,150.0,73.17,43.9,182.93,1.0,0.6,2.5
26,C2,60.0,150.0,73.17,43.9,182.93,1.0,0.6,2.5
27,C3,60.0,150.0,57.92,144.79,97.3,1.0,2.5,1.68
28,C4,60.0,150.0,57.92,144.79,97.3,1.0,2.5,1.68
29,C5,60.0,150.0,64.24,144.54,91.22,1.0,2.25,1.42
30,C6,60.0,150.0,64.24,144.54,91.22,1.0,2.25,1.42
31,C7,60.0,150.0,68.49,142.47,89.04,1.0,2.08,1.3
32,C8,60.0,150.0,68.49,142.47,89.04,1.0,2.08,1.3
33,C9,5.0,150.0,54.05,128.65,117.3,1.0,2.38,2.17
34,C10,5.0,150.0,54.05,128.65,117.3,1.0,2.38,2.17
35,C11,5.0,150.0,70.92,136.88,92.2,1.0,1.93,1.3
36,C12,5.0,150.0,70.92,136.88,92.2,1.0,1.93,1.3
37,D1,10.0,60.0,56.07,140.19,103.74,1.0,2.5,1.85
38,D2,10.0,60.0,56.07,140.19,103.74,1.0,2.5,1.85
39,D3,5.0,150.0,65.93,135.16,98.9,1.0,2.05,1.5
40,D4,5.0,150.0,65.93,135.16,98.9,1.0,2.05,1.5
41,D5,5.0,150.0,69.77,132.56,97.67,1.0,1.9,1.4
42,D6,5.0,150.0,69.77,132.56,97.67,1.0,1.9,1.4
1,F1,60.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
2,F2,60.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
3,F3,60.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
4,F4,60.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
5,F5,30.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
6,F6,30.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
7,F7,30.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
8,F8,30.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
9,F9,5.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
10,F10,5.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
11,F11,5.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
12,F12,5.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
1,A1,60.0,60.0,73.17,43.9,182.93,1.0,0.6,2.5
2,A2,60.0,60.0,73.17,43.9,182.93,1.0,0.6,2.5
3,A3,60.0,60.0,62.5,156.25,81.25,1.0,2.5,1.3
4,A4,60.0,60.0,62.5,156.25,81.25,1.0,2.5,1.3
5,A5,55.0,60.0,73.17,43.9,182.93,1.0,0.6,2.5
6,A6,55.0,60.0,73.17,43.9,182.93,1.0,0.6,2.5
7,A7,55.0,60.0,62.5,156.25,81.25,1.0,2.5,1.3
8,A8,55.0,60.0,62.5,156.25,81.25,1.0,2.5,1.3
9,A9,5.0,60.0,73.17,43.9,182.93,1.0,0.6,2.5
10,A10,5.0,60.0,73.17,43.9,182.93,1.0,0.6,2.5
11,A11,5.0,60.0,62.5,156.25,81.25,1.0,2.5,1.3
12,A12,5.0,60.0,62.5,156.25,81.25,1.0,2.5,1.3
13,B1,60.0,150.0,50.85,122.03,127.12,1.0,2.4,2.5
14,B2,60.0,150.0,50.85,122.03,127.12,1.0,2.4,2.5
15,B3,5.0,150.0,55.05,129.36,115.6,1.0,2.35,2.1
16,B4,5.0,150.0,55.05,129.36,115.6,1.0,2.35,2.1
17,B5,5.0,150.0,62.76,155.65,81.59,1.0,2.48,1.3
18,B6,5.0,150.0,62.76,155.65,81.59,1.0,2.48,1.3
19,B7,5.0,150.0,64.79,150.97,84.23,1.0,2.33,1.3
20,B8,5.0,150.0,64.79,150.97,84.23,1.0,2.33,1.3
21,B9,5.0,150.0,67.11,145.64,87.25,1.0,2.17,1.3
22,B10,5.0,150.0,67.11,145.64,87.25,1.0,2.17,1.3
23,B11,5.0,150.0,69.77,139.53,90.7,1.0,2.0,1.3
24,B12,5.0,150.0,69.77,139.53,90.7,1.0,2.0,1.3
25,C1,60.0,150.0,73.17,43.9,182.93,1.0,0.6,2.5
26,C2,60.0,150.0,73.17,43.9,182.93,1.0,0.6,2.5
27,C3,60.0,150.0,57.92,144.79,97.3,1.0,2.5,1.68
28,C4,60.0,150.0,57.92,144.79,97.3,1.0,2.5,1.68
29,C5,60.0,150.0,64.24,144.54,91.22,1.0,2.25,1.42
30,C6,60.0,150.0,64.24,144.54,91.22,1.0,2.25,1.42
31,C7,60.0,150.0,68.49,142.47,89.04,1.0,2.08,1.3
32,C8,60.0,150.0,68.49,142.47,89.04,1.0,2.08,1.3
33,C9,5.0,150.0,54.05,128.65,117.3,1.0,2.38,2.17
34,C10,5.0,150.0,54.05,128.65,117.3,1.0,2.38,2.17
35,C11,5.0,150.0,70.92,136.88,92.2,1.0,1.93,1.3
36,C12,5.0,150.0,70.92,136.88,92.2,1.0,1.93,1.3
1,F1,60.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
2,F2,60.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
3,F3,60.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
4,F4,60.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
5,F5,30.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
6,F6,30.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
7,F7,30.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
8,F8,30.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
9,F9,5.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
10,F10,5.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
11,F11,5.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
12,F12,5.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
1,F1,60.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
2,F2,60.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
3,F3,60.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
4,F4,60.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
5,F5,30.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
6,F6,30.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
7,F7,30.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
8,F8,30.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
9,F9,5.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
10,F10,5.0,60.0,60.0,120.0,120.0,1.0,2.0,2.0
11,F11,5.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
12,F12,5.0,60.0,100.0,67.5,132.5,1.0,0.675,1.325
